# Creation Date: 2022-Feb-28
# VACUUM -- MUST BE IN NIST
| ion |       wave | NIST | Instr | amplitude |                     Source |
| HgI |  6120.8    |    1 |     0 |           |                     NIST   | # RbI
| HgI |  7802.414  |    1 |     0 |    90000  |                     NIST   | # RbI
| HgI |  7949.789  |    1 |     0 |    45000  |                     NIST   | # RbI
| HgI |  2968.1495 |    1 |     0 |      3000 | ldt_deveny_300_HgCdAr.fits |
| HgI |  3022.384  |    1 |     0 |      1200 | ldt_deveny_300_HgCdAr.fits |
| HgI |  3126.5801 |    1 |   128 |      4000 |                       NIST |
| HgI |  3132.4626 |    1 |   128 |      3000 |                       NIST |
| HgI |  3132.7517 |    1 |   128 |      4000 |                       NIST |
| HgI |  3342.4450 |    1 |     0 |       700 | ldt_deveny_300_HgCdAr.fits |
| HgI |  3651.1980 |    1 |     6 |      7408 |  lrisb_600_4000_PYPIT.json |
| HgI |  3655.8833 |    1 |   128 |      3000 |                       NIST |
| HgI |  3664.3274 |    1 |     2 |      1042 |  lrisb_600_4000_PYPIT.json |
| HgI |  4047.7081 |    1 |     6 |     12902 |  lrisb_600_4000_PYPIT.json |
| HgI |  4078.9883 |    1 |     6 |       884 |  lrisb_600_4000_PYPIT.json |
| HgI |  4340.4431 |    1 |     0 |        50 | ldt_deveny_1200_HgCdAr.fits |
| HgI |  4348.7166 |    1 |     0 |       150 | ldt_deveny_1200_HgCdAr.fits |
| HgI |  4359.5600 |    1 |     6 |     38125 | lrisb_600_4000_PYPIT.json |
| HgI |  4917.4406 |    1 |     0 |       500 | ldt_deveny_600_HgCdAr.fits |
| HgI |  5462.2675 |    1 |    15 |     28377 | lrisb_600_4000_PYPIT.json |
| HgI |  5771.2100 |    1 |     9 |      5510 | lrisr_600_7500_PYPIT.json |
| HgI |  5792.2760 |    1 |     9 |      6029 | lrisr_600_7500_PYPIT.json |
| HgI |  6718.1900 |    1 |   128 |       600 |                      NIST |
| HgI |  6909.3700 |    1 |     0 |      1000 | ldt_deveny_1200_HgCdAr.fits |
| HgI |  10142.53  |    1 |     9 |      1600 |                      NIST |
| HeI |  3889.7500 |    1 |     4 |      2565 | kastb_600_PYPIT.json |
| HeI |  4027.3292 |    1 |     4 |       153 | kastb_600_PYPIT.json |
| HeI |  4472.7350 |    1 |     0 |        30 | ALFOSC               |
| HeI |  4714.4644 |    1 |     4 |       275 | kastb_600_PYPIT.json |
| HeI |  4923.3053 |    1 |     4 |       656 | kastb_600_PYPIT.json |
| HeI |  5017.0772 |    1 |     4 |      2341 | kastb_600_PYPIT.json |
| HeI |  5877.2490 |    1 |     0 |      1000 | FORS2                |
| HeI |  6679.9950 |    1 |     0 |       300 | ALFOSC               |
| HeI |  7067.1380 |    1 |     0 |       200 | ALFOSC               |
| HgI | 8523.47276 |    1 |     0 |           |        NIST  | # CsI
| HgI | 10027.1033 |    1 |     0 |    190000 |        NIST  | # CsI
| HgI | 10126.3767 |    1 |     0 |    190000 |        NIST  | # CsI
| ArI |  3950.0970 |    1 |   128 |     10000 |                       NIST |
| ArI |  4159.7620 |    1 |    64 |        94 |  GMOS_R400_blue_1_fit.json |
| ArI |  4165.3540 |    1 |   128 |     10000 |                       NIST |
| ArI |  4201.8580 |    1 |   128 |     10000 |                       NIST |
| ArI |  4260.5610 |    1 |   128 |     10000 |                       NIST |
| ArI |  4301.3110 |    1 |   128 |     10000 |                       NIST |
| ArI |  4334.7790 |    1 |    64 |        91 |  GMOS_R400_blue_1_fit.json |
| ArI |  4336.5570 |    1 |   128 |     10000 |                       NIST |
| ArI |  4346.3900 |    1 |   128 |     10000 |                       NIST |
| ArI |  4511.9980 |    1 |    64 |        72 |  GMOS_R400_blue_1_fit.json |
| ArI |  4523.5910 |    1 |   128 |     10000 |                       NIST |
| ArI |  4597.3850 |    1 |   128 |     10000 |                       NIST |
| ArI |  4629.7370 |    1 |   128 |     10000 |                       NIST |
| ArI |  4703.6320 |    1 |   128 |     10000 |                       NIST |
| ArI |  5163.7230 |    1 |   128 |     10000 |                       NIST |
| ArI |  5189.1910 |    1 |    72 |        57 |  GMOS_R400_blue_1_fit.json |
| ArI |  5222.7250 |    1 |   128 |     10000 |                       NIST |
| ArI |  5422.8590 |    1 |   128 |     10000 |                       NIST |
| ArI |  5441.501  |    1 |   128 |     10000 |                       NIST |
| ArI |  5453.1670 |    1 |   128 |     10000 |                       NIST |
| ArI |  5497.4010 |    1 |    72 |        74 | GMOS_R400_blue_15_fit.json |
| ArI |  5526.491  |    1 |   128 |     10000 |                       NIST |
| ArI |  5560.2460 |    1 |    72 |        74 | GMOS_R400_blue_38_fit.json |
| ArI |  5574.0880 |    1 |    72 |        27 | GMOS_R400_blue_15_fit.json |
| ArI |  5608.2900 |    1 |    72 |        94 | GMOS_R400_blue_38_fit.json |
| ArI |  5650.254  |    1 |   128 |     10000 |                       NIST |
| ArI |  5652.2720 |    1 |    72 |        46 | GMOS_R400_blue_38_fit.json |
| ArI |  5683.476  |    1 |   128 |     10000 |                       NIST |
| ArI |  5741.1120 |    1 |    72 |        34 | GMOS_R400_blue_38_fit.json |
| ArI |  5785.140  |    1 |   128 |     10000 |                       NIST |
| ArI |  5803.689  |    1 |   128 |     10000 |                       NIST |
| ArI |  5835.8800 |    1 |   128 |     10000 |                       NIST |
| ArI |  5861.9340 |    1 |    72 |        26 | GMOS_R400_blue_15_fit.json |
| ArI |  5884.2540 |    1 |   128 |     10000 |                       NIST |
| ArI |  5890.2160 |    1 |    72 |        51 | GMOS_R400_blue_38_fit.json |
| ArI |  5913.7230 |    1 |    72 |        98 | GMOS_R400_blue_38_fit.json |
| ArI |  5918.238  |    1 |   128 |     10000 |                       NIST |
| ArI |  5928.767  |    1 |   128 |     10000 |                       NIST |
| ArI |  5930.4560 |    1 |    72 |        35 | GMOS_R400_blue_38_fit.json |
| ArI |  5944.3150 |    1 |   128 |     10000 |                       NIST |
| ArI |  5950.907  |    1 |   128 |     10000 |                       NIST |
| ArI |  5966.13   |    1 |   128 |     10000 |                       NIST |
| ArI |  5969.973  |    1 |   128 |     10000 |                       NIST |
| ArI |  5973.255  |    1 |   128 |     10000 |                       NIST |
| ArI |  5988.9600 |    1 |   128 |     10000 |                       NIST |
| ArI |  6000.6610 |    1 |   128 |     10000 |                       NIST |
| ArI |  6007.388  |    1 |   128 |     10000 |                       NIST |
| ArI |  6015.343  |    1 |   128 |     10000 |                       NIST |
| ArI |  6026.8190 |    1 |   128 |     10000 |                       NIST |
| ArI |  6033.7970 |    1 |   128 |     10000 |                       NIST |
| ArI |  6044.8960 |    1 |    72 |        60 | GMOS_R400_blue_38_fit.json |
| ArI |  6054.3990 |    1 |   128 |     10000 |                       NIST |
| ArI |  6061.0500 |    1 |    72 |        33 | GMOS_R400_blue_15_fit.json |
| ArI |  6082.927  |    1 |   128 |     10000 |                       NIST |
| ArI |  6087.564  |    1 |   128 |     10000 |                       NIST |
| ArI |  6092.471  |    1 |   128 |     10000 |                       NIST |
| ArI |  6100.4910 |    1 |   128 |     10000 |                       NIST |
| ArI |  6107.3250 |    1 |   128 |     10000 |                       NIST |
| ArI |  6129.112  |    1 |    72 |      8086 |                       NIST |
| ArI |  6147.1420 |    1 |   128 |     10000 |                       NIST |
| ArI |  6156.942  |    1 |    72 |      8086 |                       NIST |
| ArI |  6166.829  |    1 |    72 |      8086 |                       NIST |
| ArI |  6171.8810 |    1 |   128 |     10000 |                       NIST |
| ArI |  6214.2220 |    1 |   128 |     10000 |                       NIST |
| ArI |  6217.658  |    1 |    72 |      8086 |                       NIST |
| ArI |  6250.134  |    1 |    72 |      8086 |                       NIST |
| ArI |  6298.6130 |    1 |    72 |        28 | GMOS_R400_blue_15_fit.json |
| ArI |  6309.4010 |    1 |    72 |        32 | GMOS_R400_blue_38_fit.json |
| ArI |  6366.653  |    1 |    72 |      8086 |                       NIST |
| ArI |  6371.3360 |    1 |   128 |     10000 |                       NIST |
| ArI |  6386.4820 |    1 |    72 |        39 | GMOS_R400_blue_38_fit.json |
| ArI |  6418.0810 |    1 |    72 |       139 | GMOS_R400_blue_38_fit.json |
| ArI |  6468.339  |    1 |    72 |      8086 |                       NIST |
| ArI |  6539.9180 |    1 |   128 |     10000 |                       NIST |
| ArI |  6606.6770 |    1 |   128 |     10000 |                       NIST |
| ArI |  6633.916  |    1 |    72 |      8086 |                       NIST |
| ArI |  6658.776  |    1 |    72 |      8086 |                       NIST |
| ArI |  6662.5150 |    1 |   128 |     10000 |                       NIST |
| ArI |  6665.8910 |    1 |   128 |     10000 |                       NIST |
| ArI |  6679.1260 |    1 |    72 |       188 | GMOS_R400_blue_38_fit.json |
| ArI |  6721.073  |    1 |    72 |      8086 |                       NIST |
| ArI |  6754.6980 |    1 |    72 |       478 | GMOS_R400_blue_38_fit.json |
| ArI |  6768.4800 |    1 |    72 |        58 | GMOS_R400_blue_38_fit.json |
| ArI |  6881.4800 |    1 |   128 |     10000 |                       NIST |
| ArI |  6873.1850 |    1 |    72 |       514 | GMOS_R400_blue_38_fit.json |
| ArI |  6890.0740 |    1 |    72 |        45 | GMOS_R400_blue_38_fit.json |
| ArI |  6939.5780 |    1 |   128 |     10000 |                       NIST |
| ArI |  6953.3950 |    1 |   128 |     10000 |                       NIST |
| ArI |  6967.3520 |    1 |    89 |     15530 |  lrisr_600_7500_PYPIT.json |
| ArI |  7032.1900 |    1 |    72 |       504 | GMOS_R400_chip2_8_fit.json |
| ArI |  7069.1670 |    1 |    81 |      6568 |  lrisr_600_7500_PYPIT.json |
| ArI |  7109.4370 |    1 |   128 |     10000 |                       NIST |
| ArI |  7127.7840 |    1 |   128 |     10000 |                       NIST |
| ArI |  7149.0120 |    1 |    81 |      1197 |  lrisr_600_7500_PYPIT.json |
| ArI |  7160.8120 |    1 |   128 |     10000 |                       NIST |
| ArI |  7208.9660 |    1 |    72 |        65 |  GMOS_R400_long_2_fit.json |
| ArI |  7267.1740 |    1 |   128 |     10000 |                       NIST |
| ArI |  7274.9400 |    1 |    81 |      5595 |  lrisr_600_7500_PYPIT.json |
| ArI |  7313.7310 |    1 |   128 |     10000 |                       NIST |
| ArI |  7318.0210 |    1 |   128 |     10000 |                       NIST |
| ArI |  7355.3190 |    1 |    72 |       297 | GMOS_R400_chip2_8_fit.json |
| ArI |  7374.1490 |    1 |   128 |     10000 |                       NIST |
| ArI |  7386.0140 |    1 |    89 |     19023 |  lrisr_600_7500_PYPIT.json |
| ArI |  7395.0160 |    1 |   128 |     10000 |                       NIST |
| ArI |  7414.3790 |    1 |   128 |     10000 |                       NIST |
| ArI |  7427.3390 |    1 |   128 |     10000 |                       NIST |
| ArI |  7437.4160 |    1 |    72 |        50 |  GMOS_R400_long_2_fit.json |
| ArI |  7473.221  |    1 |    72 |      8086 |                       NIST |
| ArI |  7486.39   |    1 |    72 |      8086 |                       NIST |
| ArI |  7505.9350 |    1 |    89 |     26328 |  lrisr_600_7500_PYPIT.json |
| ArI |  7516.7210 |    1 |    81 |     22574 |  lrisr_600_7500_PYPIT.json |
| ArI |  7637.2080 |    1 |    88 |      2186 |  kastr_600_7500_PYPIT.json |
| ArI |  7672.168  |    1 |    72 |      8086 |                       NIST |
| ArI |  7725.8870 |    1 |     8 |       734 |  kastr_600_7500_PYPIT.json |
